а〔连〕①可是②而；因此
абсолютный〔形〕①绝对的，无条件的②十分的，完全的
август〔名〕八月
авиация〔名〕①航空，航空学②空军，航空兵
автобус〔名〕公共汽车
автомат〔名〕①自动装置②自动枪，冲锋枪
автоматизировать〔动〕使自动化
автомобиль〔名〕汽车
автомобильный〔形〕汽车的
автор〔名〕作者；发明人，发现人
адрес〔名〕地址，住址
академик〔名〕科学院院士
академия〔名〕①科学院②学院；大学（仅用于某些高等学校）
аккуратный〔形〕①认真的；整洁的②端正的；做得很仔细的（指事物，行动）
активный〔形〕积极的，主动的
аллея〔名〕林荫道
алло〔感〕喂（打电话用语）
альбом〔名〕收集册；照像簿
американский〔形〕美洲（人）的；美国（人）的
анализ〔名〕①分析①化验
анализировать〔动〕（完，未）进行分析，进行化验
английский〔形〕英国（人）的
анкета〔名〕调查表；履历表，登记表
античный〔形〕古希腊、罗马的（指文化、艺术、社会制度等）
аплодисменты〔名〕鼓掌；拍手
аппарат〔名〕①器械；仪器，装置②机关，部门
аппендицит〔名〕阑尾炎
аппетит〔名〕食欲，胃口
апрель〔名〕四月
арестовывать〔动〕逮捕；拘捕‖完арестовать
армия〔名〕①军队②大批人；大军
артист （артистка）〔名〕演员，艺人
архитектура〔名〕①建筑学②建筑式样
аспирант （аспиратка） 〔名〕研究生
астрономия〔名〕天文学
атмосфера〔名〕①大气②气氛；环境③大气压（指压力单位）
атом〔名〕原子
атомный〔形〕原子的，利用原子能的
аудитория〔名〕讲堂，（大学的）教室；〔集〕听众，学生
аэродром〔名〕飞机场
аэропорт〔名〕（飞机航线上的）航空站
бабушка〔名〕祖母；外祖母
балет〔名〕芭蕾舞
балкон〔名〕①阳台，凉台②（剧场里的）楼座
баскетбол〔名〕篮球（指运动项目）
басня〔名〕寓言
бассейн〔名〕①贮水池，蓄水池②游泳池
башня〔名〕塔，塔楼
бег〔名〕①跑②赛跑
бегать〔动〕①跑，奔跑②逃跑，躲避
беда〔名〕不幸，灾难，倒霉事
бедность〔名〕①贫穷，贫苦②贫乏，缺乏
бедный〔形〕①穷苦的，贫穷的②（内容）贫乏的③不幸的，可怜的④（用作名词）穷人
бежать〔动〕跑，奔跑
без/безо〔前〕没有，缺少；无
безграничный〔形〕无边际的；无穷的
безлюдный〔形〕无人的；渺无人迹的；人烟稀少的；寂静无人的
безопасность〔名〕安全；无危险
безопасный〔形〕安全的；无危险的
белый〔形〕①白色的，白的②（用作名词）白种人
бензин〔名〕汽油
берег〔名〕岸，陆地
бережный〔形〕爱护的，爱惜的；谨慎的，小心的
берёза〔名〕桦树
беречь〔动〕①保藏，珍藏②节省，爱惜③爱护
беседовать〔动〕①交谈，会谈，谈心②座谈；座谈会
беседа〔名〕①交换意见，倾谈②举行座谈会
бесплатный〔形〕免费的，无报酬的
беспокойство〔名〕①不安，惊慌②打扰
бесполезный〔形〕无益的，无用的；徒然的
бессмертие〔名〕永生，永垂不朽
бетон〔名〕混凝土
библиотека〔名〕图书馆
бизнес〔名〕商业活动，生意
бизнесмен〔名〕生意人，商人，实业家
билет〔名〕①票券②证，证件③考签
биография〔名〕①传，传记②生平
биологический〔形〕生物（学）的
биология〔名〕生物学
битва〔名〕会战；交战，战役
бить〔动〕①敲，打②敲响，拍打‖完побить
биться〔动〕①作战；厮打②碰，撞
благо〔名〕①福利，幸福②财富
благодарить〔动〕致谢，感谢
благодарность〔名〕谢意，感谢
благодаря〔前〕由于，多亏
благополучие〔名〕平安，顺利
бланк〔名〕①公文用纸；格式纸；表格，表②（商）已签名的空白票据
бледный〔形〕苍白的（指脸色）；暗淡的
блестеть〔动〕闪耀，发光‖完，一次блеснуть
блестящий〔形〕光辉的，卓越的
близкий〔形〕①近的，近处的②亲近的③相近的，类似的
блюдо〔名〕①大碟子②菜食，盘菜
бог〔名〕上帝，天主
богатство〔名〕①富，财富②丰富，大量
богатый〔形〕①富的，富有的②丰富的③（用作名词）富人
боевой〔形〕①战斗的，作战的②军用的，作战用的
боец〔名〕①战士，士兵②（为某种事业战斗的）战士
бой〔名〕①战斗②斗，决斗
более〔副〕更，较
болезнь〔名〕疾病
болеть1〔动〕生病
болеть2〔动〕感到疼痛（指身体的某个部位）
боль〔名〕疼痛，痛苦
больница〔名〕医院
больной〔形〕①有病的②（用作名词）病人
больше〔形，副比较级〕①更大；更多②再也（不，没有）
большевик〔名〕布尔什维克
большинство〔名〕大部分，大多数
большой〔形〕①大的②巨大的；重大的
бомба〔名〕炸弹
борец〔名〕（为某种事业而斗争的）斗士，战士
борода〔名〕胡子，胡须
бороться〔动〕斗争，奋战
борт〔名〕船舷
борьба〔名〕斗争
ботинки〔名〕（半高腰的）鞋子，皮鞋
бояться〔动〕感到害怕；怕
брат〔名〕弟兄；哥哥；弟弟
брать〔动〕①拿，取②随身携带③承担④借用；租⑤攻取‖完взять
браться〔动〕①着手，开始做②承担，担任‖完взяться
бревно〔名〕圆木，原木
бригада〔名〕队，组
бригадир〔名〕队长，组长
бровь〔名〕眉毛，眉
бросать〔动〕①投，掷②抛弃；放弃‖完бросить
бросаться〔动〕①奔向②跳下，（往下）急跃‖完броситься
брюки〔名〕男式外裤，裤子
будить〔动〕叫醒，唤醒‖完разбудить
будто①〔连〕好像，仿佛，似乎①〔语〕好像，仿佛，似乎
будущий〔形〕①将来的，未来的②（用作名词）未来，前途
буква〔名〕字母
букет〔名〕花束
бумага〔名〕①纸②公文，文件
бурный〔形〕①热烈的②蓬勃的，飞速的
буря〔名〕暴风雨；风暴
бутылка〔名〕（玻璃）瓶子
бы〔语〕①（表示有可能产生）要是，若是②（表示愿望）最好；就好了；但愿能
бывать〔动〕①有，存在②常到，常在③往往是，常是；有时是
бывший〔形〕原先的，以前的
быстрый〔形〕①快的，迅速的②敏捷的，机灵的
быт〔名〕日常生活，生活方式，生活习惯
бытовой〔形〕日常生活的
быть〔动〕①有，存在②处在；到③发生④是，系
бюро〔名〕部，局，处，所
в〔前〕Ⅰ（四格）①到，往，向②成为，变成③（数）为，计④在…（时）⑤象，似⑥穿，戴上Ⅱ（六格）①在…里②在…中③穿着，戴着④在…时
вагон〔名〕（火车或电车的）车厢
важность〔名〕①重要性②傲慢，妄自尊大（指外表、行为）
важный〔形〕①重大的，重要的②职位高的，地位重要的③神气活现的
вариант〔名〕（同一事物的不同的）处理办法；作法，说法；变体
ваш〔代〕你们的；您的
вблизи①〔副〕在近处，附近②〔前〕在…近旁
вверх〔副〕向上，往上
вводить〔动〕①带进②引入‖完ввести
вдали〔副〕在远处
вдвое〔副〕（增加到）两倍；（减少到）二分之一
вдвоём〔副〕两人；两人一起
вдоль①〔副〕直着；纵（着）②〔前〕沿着，顺着
вдруг〔副〕突然，忽然
ведро〔名〕桶
ведущий〔形〕主导的，主要的
ведь①〔语〕本来，不是吗②〔连〕要知道，因为
везде〔副〕到处
век〔名〕①世纪②一生，一辈子
велеть〔动〕（完，未）吩咐，嘱咐
великий〔形〕①大的，巨大的②伟大的
величина〔名〕①大小，尺寸②数量
велосипед〔名〕自行车
веник〔名〕笤帚
венок〔名〕花环，花圈
вера〔名〕①信心，信念②信仰
верить〔动〕①相信，有信心②信仰③信任，信赖‖完поверить
верность〔名〕①忠诚②牢固，可靠（性）③正确（性）
вернуть〔动〕（完）归还；还
верный〔形〕①忠诚的，忠实的②符合实际的，正确的
вероятно〔副〕大概，大约，可能地
верхний〔形〕①上面的②穿在外面的
вершина〔名〕①最高的部分；顶，峰；梢②高度，顶点
вес〔名〕重量，分量
весёлый〔形〕①快乐的，愉快的②使人开心的，有趣的
весенний〔形〕春天的
весить〔动〕有（多少）重量；重（多少）
весна〔名〕春季，春天
весной〔副〕在春天
весть〔名〕消息
